instance_id,timestamp,cpu,memory,gpu_utilization,gpu_memory_utilization,gpu_encoder_session_count,network_in,network_out,network_packets_in,network_packets_out,disk_read_ops,disk_write_ops,disk_read_bytes,disk_write_bytes,volume_read_bytes,volume_write_bytes,volume_read_ops,volume_write_ops
i-0abcd123,2026-03-08T01:30:00+00:00,43.2,32.55,1.1,2.68,0,144481,138555,254,201,111,114,20283,33136,71984,60522,357,415
i-0abcd123,2026-03-08T01:35:00+00:00,17.21,46.94,3.74,0.28,1,97357,106723,157,249,91,105,8106,17355,36419,55508,205,289
i-0abcd123,2026-03-08T01:40:00+00:00,39.95,51.22,2.83,3.91,0,192500,84867,122,365,96,125,7743,37595,78713,85743,331,146
i-0abcd123,2026-03-08T01:45:00+00:00,31.01,33.1,1.52,2.8,0,86006,133639,117,230,147,133,21092,9405,51014,29910,179,402
i-0abcd123,2026-03-08T01:50:00+00:00,35.57,54.91,4.38,4.86,0,178882,91884,119,490,162,153,48956,44063,33408,56040,292,114
i-0abcd123,2026-03-08T01:55:00+00:00,39.17,40.36,0.67,4.97,0,173350,121167,84,150,100,129,22748,9648,31096,94041,355,272
i-0abcd123,2026-03-08T02:00:00+00:00,38.88,52.42,4.78,4.44,0,143670,170383,168,473,97,69,17793,18429,75481,86844,143,275
i-0abcd123,2026-03-08T02:05:00+00:00,17.86,59.34,2.78,2.86,1,125687,160352,490,360,93,153,31511,25027,11807,18515,179,362
i-0abcd123,2026-03-08T02:10:00+00:00,43.69,44.53,0.46,1.59,0,100468,120854,233,183,159,115,40559,5840,15883,93845,216,120
i-0abcd123,2026-03-08T02:15:00+00:00,31.78,64.21,1.06,1.24,0,122731,131130,382,179,199,89,20636,44581,38797,60987,326,280
i-0abcd123,2026-03-08T02:20:00+00:00,41.34,39.68,1.79,3.89,0,94878,72758,265,479,184,160,12723,11034,58417,13486,465,229
i-0abcd123,2026-03-08T02:25:00+00:00,28.64,35.44,2.39,5.0,0,108236,125696,138,436,125,174,12647,36611,97502,37691,340,494
i-0abcd123,2026-03-08T02:30:00+00:00,42.52,51.74,3.18,1.5,1,147251,90510,411,158,154,101,6743,23878,69020,49177,185,344
i-0abcd123,2026-03-08T02:35:00+00:00,29.68,58.6,3.91,4.88,1,159240,174637,487,146,131,177,16542,23435,85765,26014,209,483
i-0abcd123,2026-03-08T02:40:00+00:00,42.03,49.92,2.54,4.47,0,120172,178457,376,137,104,106,36362,23691,58257,40904,181,191
i-0abcd123,2026-03-08T02:45:00+00:00,15.13,55.26,4.33,0.65,0,80364,178272,323,242,199,162,19332,18427,76282,15478,456,429
i-0abcd123,2026-03-08T02:50:00+00:00,15.99,37.05,0.41,0.71,1,92480,141659,499,408,150,95,33214,34830,20472,32561,168,491
i-0abcd123,2026-03-08T02:55:00+00:00,42.46,48.2,3.56,0.06,0,92323,99222,389,445,96,115,14805,24802,20794,98373,496,366
i-0abcd123,2026-03-08T03:00:00+00:00,15.26,44.22,1.19,1.73,0,116966,80217,255,379,111,140,19667,36423,17083,86723,315,374
i-0abcd123,2026-03-08T03:05:00+00:00,16.43,60.2,0.83,1.76,1,151805,81177,470,87,179,146,19700,45956,48242,99839,236,240
i-0abcd123,2026-03-08T03:10:00+00:00,18.58,60.48,2.59,1.87,0,128691,153970,108,299,154,163,33705,39915,31967,31701,385,257
i-0abcd123,2026-03-08T03:15:00+00:00,30.9,43.93,3.87,2.67,0,149307,87392,162,124,120,158,10039,39453,54294,75946,165,427
i-0abcd123,2026-03-08T03:20:00+00:00,36.58,33.89,4.18,0.32,0,145004,70251,496,85,93,158,31701,25924,10307,76796,413,496
i-0abcd123,2026-03-08T03:25:00+00:00,40.62,33.64,1.94,1.56,0,138325,112920,173,219,84,171,35759,19572,61948,64692,232,132
i-0abcd123,2026-03-08T03:30:00+00:00,16.56,44.13,4.41,1.45,1,166023,145137,263,151,130,85,11664,12567,21277,10412,270,109
i-0abcd123,2026-03-08T03:35:00+00:00,43.78,38.0,2.77,2.25,1,169591,175291,486,241,133,164,11946,46215,68262,83630,318,485
i-0abcd123,2026-03-08T03:40:00+00:00,41.55,33.88,1.16,2.18,0,164881,123467,94,416,158,87,24904,35155,94998,28819,127,123
i-0abcd123,2026-03-08T03:45:00+00:00,23.27,54.94,4.06,3.8,0,124468,153418,415,370,102,156,19549,46852,50539,64603,285,500
i-0abcd123,2026-03-08T03:50:00+00:00,28.3,41.82,4.01,4.73,1,140835,137717,132,447,101,111,39319,7917,30806,89010,387,375
i-0abcd123,2026-03-08T03:55:00+00:00,41.28,58.15,0.62,1.17,1,155294,91683,484,356,80,130,47927,34292,32758,88530,389,296
i-0abcd123,2026-03-08T04:00:00+00:00,21.46,63.07,0.3,2.44,0,192799,127670,453,286,124,128,9359,38522,31194,32018,100,498
i-0abcd123,2026-03-08T04:05:00+00:00,23.26,46.72,3.4,1.53,0,173505,107150,382,206,136,163,35366,14185,26826,20777,181,318
i-0abcd123,2026-03-08T04:10:00+00:00,24.31,47.91,3.72,1.33,0,142074,129544,408,98,186,158,32376,23613,62550,41732,285,298
i-0abcd123,2026-03-08T04:15:00+00:00,22.69,64.51,4.0,3.74,0,133292,94495,151,376,141,113,5964,20081,96234,59686,494,375
i-0abcd123,2026-03-08T04:20:00+00:00,19.32,64.4,4.42,1.07,1,113257,150375,239,437,121,153,47892,22652,65241,74300,391,463
i-0abcd123,2026-03-08T04:25:00+00:00,15.82,54.27,1.66,1.42,1,192073,91022,228,303,166,127,44878,26976,19558,98513,337,330
i-0abcd123,2026-03-08T04:30:00+00:00,18.16,56.8,4.67,0.85,0,133631,149474,61,103,103,66,28761,47685,43704,43654,286,174
i-0abcd123,2026-03-08T04:35:00+00:00,31.61,52.71,1.65,1.66,0,124099,179238,411,79,93,65,33070,44811,12503,49959,284,449
i-0abcd123,2026-03-08T04:40:00+00:00,18.45,37.43,4.51,3.52,0,139419,140653,210,418,107,74,10018,41171,64899,70186,491,227
i-0abcd123,2026-03-08T04:45:00+00:00,30.81,64.46,2.75,2.73,0,153691,89282,116,470,121,102,23697,31424,22070,56771,135,119
i-0abcd123,2026-03-08T04:50:00+00:00,38.22,43.38,2.2,3.81,1,135042,175249,461,151,166,155,46822,6357,16896,30714,218,347
i-0abcd123,2026-03-08T04:55:00+00:00,37.8,46.85,2.86,0.06,0,125194,106035,377,276,186,146,24032,29739,51960,28877,242,202
i-0abcd123,2026-03-08T05:00:00+00:00,38.16,55.74,1.82,0.15,1,110149,96058,198,133,83,127,15552,24376,23807,19844,387,166
i-0abcd123,2026-03-08T05:05:00+00:00,20.43,37.42,2.22,0.95,1,169149,149757,93,481,111,71,48698,42385,85781,20863,285,350
i-0abcd123,2026-03-08T05:10:00+00:00,24.82,64.26,0.91,2.28,1,153003,147798,350,137,132,113,34505,13468,70076,76786,331,266
i-0abcd123,2026-03-08T05:15:00+00:00,30.98,64.65,4.53,2.21,0,172982,123182,425,156,188,178,14956,16298,65636,30641,322,200
i-0abcd123,2026-03-08T05:20:00+00:00,32.8,58.0,3.07,1.83,1,84397,168687,467,328,152,84,19534,26620,53100,13042,247,402
i-0abcd123,2026-03-08T05:25:00+00:00,43.46,46.72,0.22,1.39,1,113709,169482,274,444,108,157,24568,11762,54060,42793,359,146
i-0abcd123,2026-03-08T05:30:00+00:00,44.03,47.83,0.33,1.08,0,109798,83026,85,465,129,129,19583,43025,78346,71290,186,454
i-0abcd123,2026-03-08T05:35:00+00:00,21.35,40.52,4.04,1.4,0,126645,152488,111,341,113,131,41893,30829,27074,11833,108,323
i-0abcd123,2026-03-08T05:40:00+00:00,31.63,45.71,1.25,1.0,0,83735,103799,348,490,121,141,22864,13349,97350,71407,330,328
i-0abcd123,2026-03-08T05:45:00+00:00,23.85,40.27,3.72,0.65,0,186733,147265,184,194,173,93,8229,17883,79663,27687,252,416
i-0abcd123,2026-03-08T05:50:00+00:00,26.84,33.07,0.0,0.16,0,109898,128145,227,192,126,92,24231,19973,50943,27682,374,415
i-0abcd123,2026-03-08T05:55:00+00:00,28.39,32.36,0.25,0.47,0,156781,132475,375,379,174,145,31892,42250,60146,43805,439,369
i-0abcd123,2026-03-08T06:00:00+00:00,25.69,57.4,0.71,0.64,1,194067,170966,347,206,161,148,19251,11724,10765,56449,135,457
i-0abcd123,2026-03-08T06:05:00+00:00,36.56,63.65,3.63,3.67,1,174899,70798,173,82,126,121,48376,9879,53874,26242,220,397
i-0abcd123,2026-03-08T06:10:00+00:00,33.7,47.82,2.43,2.06,1,152576,86979,103,455,196,77,22303,9893,96229,24574,416,166
i-0abcd123,2026-03-08T06:15:00+00:00,28.55,34.31,3.3,2.93,1,155029,125997,440,52,199,131,42369,19298,59727,75398,165,371
i-0abcd123,2026-03-08T06:20:00+00:00,39.02,55.54,1.24,4.3,0,120508,162841,346,332,164,103,35284,38558,48650,85081,101,313
i-0abcd123,2026-03-08T06:25:00+00:00,35.85,60.76,4.6,2.6,0,154566,159941,344,390,140,105,5425,9766,71171,22769,247,267
i-0abcd123,2026-03-08T06:30:00+00:00,41.29,57.57,0.41,2.3,1,181850,153085,177,117,161,82,47311,18539,69946,24140,343,239
i-0abcd123,2026-03-08T06:35:00+00:00,41.28,41.79,2.58,4.63,1,97839,162053,472,228,165,103,6219,6633,72917,40370,421,235
i-0abcd123,2026-03-08T06:40:00+00:00,42.72,46.8,0.35,2.57,0,130482,176567,251,259,128,107,21838,23544,48126,71041,130,207
i-0abcd123,2026-03-08T06:45:00+00:00,42.99,55.56,4.96,3.88,1,117508,148909,252,67,91,130,8924,32558,85836,11664,323,287
i-0abcd123,2026-03-08T06:50:00+00:00,28.6,36.02,1.17,2.87,0,185060,85398,374,455,165,67,39938,19519,49850,21684,495,222
i-0abcd123,2026-03-08T06:55:00+00:00,37.82,32.78,4.17,2.14,0,120808,95164,90,389,132,166,46289,45026,48184,68894,201,272
i-0abcd123,2026-03-08T07:00:00+00:00,38.65,33.35,4.75,3.64,0,189960,118054,291,355,140,152,36030,34380,84063,61738,175,335
i-0abcd123,2026-03-08T07:05:00+00:00,38.48,58.5,2.17,4.99,1,146144,130080,384,444,116,156,22581,27651,19654,10646,238,445
i-0abcd123,2026-03-08T07:10:00+00:00,23.76,60.61,4.1,2.39,1,196389,133363,151,81,89,62,17657,23611,34517,96492,429,180
i-0abcd123,2026-03-08T07:15:00+00:00,19.63,44.34,1.24,1.02,0,168067,85226,60,83,112,95,12604,8301,54033,72379,234,348
i-0abcd123,2026-03-08T07:20:00+00:00,33.86,50.79,1.46,1.86,1,143694,162031,395,496,143,153,44391,30041,71218,81836,406,341
i-0abcd123,2026-03-08T07:25:00+00:00,31.65,36.67,2.14,0.14,0,177200,151300,81,476,188,75,42020,14064,69149,32537,260,202
i-0abcd123,2026-03-08T07:30:00+00:00,42.78,57.13,1.27,1.4,0,157010,92546,264,178,148,85,6613,35986,71029,45699,419,395
i-0abcd123,2026-03-08T07:35:00+00:00,33.17,37.63,0.43,2.25,0,125142,137579,94,165,144,137,32536,44800,66114,78360,165,423
i-0abcd123,2026-03-08T07:40:00+00:00,28.76,56.39,1.67,3.39,1,85573,119099,405,495,162,101,40504,19078,75580,66147,243,272
i-0abcd123,2026-03-08T07:45:00+00:00,38.48,32.02,4.47,3.23,1,175613,138041,473,110,130,72,24235,29260,38152,30732,245,138
i-0abcd123,2026-03-08T07:50:00+00:00,35.46,62.42,0.14,0.6,1,92496,94665,496,133,141,132,40092,28023,12262,47625,375,466
i-0abcd123,2026-03-08T07:55:00+00:00,36.15,36.57,4.22,1.96,1,99392,109677,484,354,88,129,35031,33013,66706,13730,450,135
i-0abcd123,2026-03-08T08:00:00+00:00,35.37,57.4,2.32,3.86,1,97133,131768,243,94,176,146,47071,16840,22474,63392,136,439
i-0abcd123,2026-03-08T08:05:00+00:00,41.47,51.84,3.04,0.22,1,198496,121663,396,453,188,91,49625,5634,93797,75896,251,105
i-0abcd123,2026-03-08T08:10:00+00:00,25.42,49.95,1.3,3.0,1,104035,76128,95,293,121,91,13253,35956,30455,21234,401,483
i-0abcd123,2026-03-08T08:15:00+00:00,15.68,52.55,0.22,0.94,0,136394,85883,357,250,168,94,43495,35285,25810,23636,348,219
i-0abcd123,2026-03-08T08:20:00+00:00,41.77,40.9,0.86,2.61,0,95072,152084,258,217,166,130,21528,19819,73759,79233,445,125
i-0abcd123,2026-03-08T08:25:00+00:00,17.21,34.45,3.5,4.65,1,82684,164045,258,327,161,176,14170,42719,27393,50749,188,246
i-0abcd123,2026-03-08T08:30:00+00:00,15.67,38.08,1.15,2.85,1,109456,178197,136,226,81,149,47804,34997,95283,25688,340,493
i-0abcd123,2026-03-08T08:35:00+00:00,44.24,55.15,4.08,1.66,1,120718,178678,397,398,88,71,20635,19321,16415,92908,381,317
i-0abcd123,2026-03-08T08:40:00+00:00,19.59,59.49,1.53,4.51,1,106223,127041,250,185,126,82,16749,22529,88954,19100,142,312
i-0abcd123,2026-03-08T08:45:00+00:00,26.18,51.65,0.2,3.28,1,180222,107879,327,323,132,85,43124,30835,97800,38623,181,385
i-0abcd123,2026-03-08T08:50:00+00:00,38.28,64.59,4.75,4.12,0,118035,90119,471,59,147,116,40958,22395,17209,86613,251,271
i-0abcd123,2026-03-08T08:55:00+00:00,25.73,30.92,1.75,4.06,1,173175,128551,259,235,120,137,30756,13884,58950,24585,417,192
i-0abcd123,2026-03-08T09:00:00+00:00,26.33,35.47,3.72,2.34,1,188871,162772,212,346,82,71,26877,41127,83433,91751,295,388
i-0abcd123,2026-03-08T09:05:00+00:00,36.06,43.5,0.1,0.88,0,86950,136187,182,320,111,80,17982,29927,28786,57348,362,321
i-0abcd123,2026-03-08T09:10:00+00:00,24.25,31.36,0.74,1.51,1,197280,73795,433,379,142,96,44653,6718,37280,44522,427,219
i-0abcd123,2026-03-08T09:15:00+00:00,18.16,60.13,1.02,3.33,1,111505,95108,120,154,88,109,47225,22028,76441,16734,113,492
i-0abcd123,2026-03-08T09:20:00+00:00,23.25,64.81,2.0,0.92,0,187343,130070,377,297,83,92,22578,43242,86403,90585,191,487
i-0abcd123,2026-03-08T09:25:00+00:00,33.92,50.2,0.58,0.58,0,95560,171037,270,490,87,163,34796,27069,86220,80047,252,171
i-0abcd123,2026-03-08T09:30:00+00:00,21.53,36.08,1.56,4.3,0,198229,79319,218,500,149,156,45123,17799,32464,33361,364,193
i-0abcd123,2026-03-08T09:35:00+00:00,28.0,50.17,0.3,2.91,1,134347,167944,156,455,186,61,12889,9458,13101,84333,268,158
i-0abcd123,2026-03-08T09:40:00+00:00,29.58,35.56,3.4,1.31,0,196495,173056,71,391,195,139,31889,47804,93995,92295,179,455
i-0abcd123,2026-03-08T09:45:00+00:00,21.17,31.47,4.83,3.66,0,97268,145204,438,248,127,144,40487,18288,84038,34014,326,398
i-0abcd123,2026-03-08T09:50:00+00:00,38.37,50.08,3.08,1.15,1,130788,159556,473,289,115,83,27283,42176,18970,11494,222,487
i-0abcd123,2026-03-08T09:55:00+00:00,26.18,53.64,3.55,4.85,1,143952,92428,90,174,142,94,21395,13315,29714,86926,222,288
i-0abcd123,2026-03-08T10:00:00+00:00,21.55,57.82,0.78,2.5,0,111952,130828,150,459,161,144,31578,5211,38932,42055,306,281
i-0abcd123,2026-03-08T10:05:00+00:00,27.63,44.88,4.91,4.73,1,120428,125424,323,66,195,128,43366,49988,51047,62516,169,294
i-0abcd123,2026-03-08T10:10:00+00:00,34.69,33.73,3.59,3.8,0,103875,119570,101,109,161,64,16809,35949,16541,87571,471,297
i-0abcd123,2026-03-08T10:15:00+00:00,17.3,57.36,4.53,4.87,0,106508,83025,126,375,125,106,46513,31459,22788,14449,144,282
i-0abcd123,2026-03-08T10:20:00+00:00,28.17,35.97,1.32,0.5,1,162583,168492,372,352,101,121,37273,8969,72362,60542,185,151
i-0abcd123,2026-03-08T10:25:00+00:00,28.01,54.83,4.52,1.9,0,155026,86947,399,86,152,84,49196,39076,97065,69615,318,422
i-0abcd123,2026-03-08T10:30:00+00:00,38.39,34.36,1.43,4.85,0,127088,102394,134,115,157,92,22682,14535,98267,32169,372,105
i-0abcd123,2026-03-08T10:35:00+00:00,16.46,35.34,1.18,3.72,0,101761,120505,86,251,196,103,37319,30410,14725,95727,404,352
i-0abcd123,2026-03-08T10:40:00+00:00,40.42,51.41,4.38,1.05,0,125108,109616,56,265,136,180,41857,25197,29896,41297,187,103
i-0abcd123,2026-03-08T10:45:00+00:00,25.97,56.09,4.86,3.12,0,122941,111025,348,461,104,139,34574,43603,59955,14633,239,206
i-0abcd123,2026-03-08T10:50:00+00:00,44.11,43.27,4.07,0.61,1,184485,176563,79,173,176,76,26308,10823,65149,95955,488,430
i-0abcd123,2026-03-08T10:55:00+00:00,19.86,35.44,3.66,4.09,1,172925,111274,464,359,150,105,5609,28697,62895,50788,222,496
i-0abcd123,2026-03-08T11:00:00+00:00,42.21,63.28,2.92,4.16,1,192613,81182,233,274,124,82,43322,6803,27947,29403,266,455
i-0abcd123,2026-03-08T11:05:00+00:00,19.34,33.34,3.43,0.73,1,132567,122771,312,222,144,60,25911,16227,46901,19398,370,165
i-0abcd123,2026-03-08T11:10:00+00:00,43.02,48.16,4.07,2.77,0,190676,173821,107,89,186,179,43898,38804,36823,42739,490,337
i-0abcd123,2026-03-08T11:15:00+00:00,42.12,57.99,4.39,1.36,0,180689,149559,162,490,100,144,41237,42107,13396,30168,249,380
i-0abcd123,2026-03-08T11:20:00+00:00,31.96,37.67,2.08,0.3,0,122065,144425,67,75,153,106,20799,16019,28886,76785,365,305
i-0abcd123,2026-03-08T11:25:00+00:00,29.18,61.41,1.11,0.14,1,129088,176926,493,470,108,178,25610,42305,78718,72015,296,487
i-0abcd123,2026-03-08T11:30:00+00:00,18.57,30.51,4.26,1.55,0,147492,146810,408,405,105,171,39458,9762,18677,82916,491,328
i-0abcd123,2026-03-08T11:35:00+00:00,28.83,47.72,4.38,0.07,0,89170,139022,243,192,109,80,6884,14820,52969,39535,434,470
i-0abcd123,2026-03-08T11:40:00+00:00,27.29,41.94,3.15,4.4,0,100279,70207,252,432,127,126,46034,31815,14401,64895,427,394
i-0abcd123,2026-03-08T11:45:00+00:00,41.94,63.55,0.36,0.9,1,156141,97897,304,224,165,105,14260,30607,20842,67656,392,259
i-0abcd123,2026-03-08T11:50:00+00:00,22.21,35.4,2.93,2.17,1,195776,131014,476,113,108,73,45300,29666,27432,51270,177,181
i-0abcd123,2026-03-08T11:55:00+00:00,30.79,52.1,0.95,3.84,1,106226,83204,219,208,138,100,35602,19868,56315,68626,491,160
i-0abcd123,2026-03-08T12:00:00+00:00,35.67,41.46,2.81,0.43,0,156846,72498,213,112,139,103,16873,29008,39875,83147,279,162
i-0abcd123,2026-03-08T12:05:00+00:00,28.47,32.11,2.8,3.65,1,145140,90934,86,252,89,122,23485,22189,71815,16960,425,148
i-0abcd123,2026-03-08T12:10:00+00:00,40.48,42.91,2.0,2.88,1,129682,106842,386,388,192,67,12054,25960,65858,35383,346,266
i-0abcd123,2026-03-08T12:15:00+00:00,30.12,32.9,2.57,4.54,1,103178,144375,321,428,193,114,33505,47254,11688,77816,180,327
i-0abcd123,2026-03-08T12:20:00+00:00,35.78,39.18,3.44,4.42,0,110607,165654,247,125,127,136,48765,41038,52980,82703,381,317
i-0abcd123,2026-03-08T12:25:00+00:00,37.65,36.07,0.11,1.65,0,173653,125906,105,82,116,74,28632,9216,65822,70788,101,360
i-0abcd123,2026-03-08T12:30:00+00:00,27.63,32.98,0.84,2.48,0,122660,148618,483,473,116,109,29654,29728,54197,98954,196,427
i-0abcd123,2026-03-08T12:35:00+00:00,27.6,52.09,1.08,2.09,0,110387,123992,361,302,107,177,23915,9060,34844,73820,314,247
i-0abcd123,2026-03-08T12:40:00+00:00,33.22,52.16,3.64,0.48,0,88788,87525,486,378,81,172,21182,28446,64566,83032,248,242
i-0abcd123,2026-03-08T12:45:00+00:00,23.91,56.17,4.38,4.29,1,129456,138907,172,234,163,153,46878,33524,42123,66208,377,309
i-0abcd123,2026-03-08T12:50:00+00:00,40.27,44.37,1.81,2.9,1,177757,145633,368,407,154,86,33920,17943,45907,52713,340,283
i-0abcd123,2026-03-08T12:55:00+00:00,40.89,44.99,0.9,3.12,0,140513,73348,180,484,135,90,39932,23925,83186,24648,157,136
i-0abcd123,2026-03-08T13:00:00+00:00,21.95,64.27,1.38,3.41,0,154861,81159,408,437,167,63,43572,42379,82831,44996,390,193
i-0abcd123,2026-03-08T13:05:00+00:00,23.97,60.24,1.33,4.42,0,119125,80551,250,460,150,85,17467,27263,33022,68761,191,106
i-0abcd123,2026-03-08T13:10:00+00:00,41.99,37.72,3.79,1.74,1,199017,157568,340,132,144,134,16719,44039,29457,83318,138,474
i-0abcd123,2026-03-08T13:15:00+00:00,15.44,58.64,2.7,3.43,0,167937,133016,256,266,160,100,45402,32378,30017,60889,149,472
i-0abcd123,2026-03-08T13:20:00+00:00,19.29,36.73,2.38,2.34,0,115512,139421,191,155,94,132,43731,18623,31028,73572,292,275
i-0abcd123,2026-03-08T13:25:00+00:00,38.92,35.49,2.2,1.9,0,160409,88390,362,255,94,176,23618,38690,96064,76450,327,420
i-0abcd123,2026-03-08T13:30:00+00:00,34.09,59.76,3.25,4.59,1,82108,70913,373,371,125,100,48603,24614,95375,92762,465,140
i-0abcd123,2026-03-08T13:35:00+00:00,21.33,63.79,1.82,3.68,1,110226,167635,70,95,164,64,21846,24779,37443,66471,298,130
i-0abcd123,2026-03-08T13:40:00+00:00,43.05,33.21,3.67,4.78,0,83583,123572,326,177,199,67,26103,22516,97737,64641,380,439
i-0abcd123,2026-03-08T13:45:00+00:00,19.96,60.42,3.19,4.88,0,158181,179364,91,162,130,84,6140,37405,36260,48194,169,487
i-0abcd123,2026-03-08T13:50:00+00:00,23.96,30.99,2.1,0.99,0,87050,159774,420,381,91,178,48700,25542,74403,74054,399,445
i-0abcd123,2026-03-08T13:55:00+00:00,40.58,47.58,4.16,4.58,1,97953,107576,453,113,80,136,47620,46203,13851,11441,443,250
i-0abcd123,2026-03-08T14:00:00+00:00,28.46,59.47,0.61,1.46,0,188345,131353,417,200,171,87,14185,34569,65188,72601,438,102
i-0abcd123,2026-03-08T14:05:00+00:00,41.81,44.2,3.19,2.68,0,190264,159803,103,239,138,162,14269,12217,20629,99770,297,150
i-0abcd123,2026-03-08T14:10:00+00:00,26.26,50.42,3.63,0.44,0,156610,88013,342,134,184,124,21590,42144,85619,94711,375,353
i-0abcd123,2026-03-08T14:15:00+00:00,20.47,57.61,2.82,1.21,1,119607,104776,291,350,102,143,31380,6492,76542,50794,237,487
i-0abcd123,2026-03-08T14:20:00+00:00,21.27,31.04,3.25,3.57,1,161163,85008,52,259,111,174,21256,29768,88922,10869,426,422
i-0abcd123,2026-03-08T14:25:00+00:00,20.49,46.82,1.34,2.67,1,93285,85511,456,56,166,65,46095,35073,54061,91358,439,117
i-0abcd123,2026-03-08T14:30:00+00:00,20.59,45.69,1.0,4.02,1,90014,88077,291,331,140,78,12364,34028,31895,43702,315,462
i-0abcd123,2026-03-08T14:35:00+00:00,21.99,37.03,0.43,3.94,0,192185,147288,105,485,100,96,19420,42055,71375,37524,438,234
i-0abcd123,2026-03-08T14:40:00+00:00,17.92,52.4,0.18,1.96,0,159532,73436,357,287,158,75,39919,44897,23725,49608,151,456
i-0abcd123,2026-03-08T14:45:00+00:00,43.97,48.16,3.81,2.21,1,86063,122435,393,330,117,77,9550,9467,59383,20596,123,458
i-0abcd123,2026-03-08T14:50:00+00:00,35.44,56.21,0.06,3.96,1,193579,168145,377,169,129,159,31527,47781,94072,78504,448,261
i-0abcd123,2026-03-08T14:55:00+00:00,29.3,61.79,1.21,0.89,1,166465,153415,277,448,139,85,30755,47066,13037,72657,281,214
i-0abcd123,2026-03-08T15:00:00+00:00,41.18,31.4,1.15,1.4,0,186399,142126,235,423,155,155,41556,21856,94111,82121,408,276
i-0abcd123,2026-03-08T15:05:00+00:00,43.68,62.67,1.11,1.11,0,113404,106178,200,192,101,108,32307,24961,70059,94405,283,221
i-0abcd123,2026-03-08T15:10:00+00:00,43.25,44.33,0.87,4.76,1,115972,156232,266,426,163,83,9221,12223,93384,17445,143,283
i-0abcd123,2026-03-08T15:15:00+00:00,29.77,39.77,2.4,1.99,0,107120,133967,294,405,123,168,19695,18696,49210,69572,357,376
i-0abcd123,2026-03-08T15:20:00+00:00,92.1,80.59,44.84,12.16,2,990878,1360688,2587,2186,1382,1448,217999,200424,138863,444898,934,1789
i-0abcd123,2026-03-08T15:25:00+00:00,36.41,63.8,2.56,3.06,0,143192,75065,257,191,118,72,15136,35069,82902,20969,359,462
i-0abcd123,2026-03-08T15:30:00+00:00,38.63,33.47,0.28,4.14,1,111702,162702,171,483,185,70,32195,24296,49586,87749,298,181
i-0abcd123,2026-03-08T15:35:00+00:00,32.91,47.8,4.55,0.84,1,99973,80855,238,341,105,158,33605,34996,98053,50949,482,446
i-0abcd123,2026-03-08T15:40:00+00:00,26.01,62.46,4.19,4.82,1,118354,174246,429,66,150,64,16732,31364,76881,31633,348,447
i-0abcd123,2026-03-08T15:45:00+00:00,29.71,46.52,2.54,4.17,1,187167,82817,349,433,117,78,28111,16082,72499,12427,209,430
i-0abcd123,2026-03-08T15:50:00+00:00,25.2,47.31,4.88,1.3,0,83271,124062,392,67,144,158,12207,9728,71074,25796,438,367
i-0abcd123,2026-03-08T15:55:00+00:00,25.54,32.86,4.78,3.85,1,120183,167176,83,366,179,80,25860,22356,84664,59666,138,242
i-0abcd123,2026-03-08T16:00:00+00:00,44.05,44.16,3.31,2.04,1,140234,164147,301,147,169,128,46895,37591,52701,84000,417,327
i-0abcd123,2026-03-08T16:05:00+00:00,20.44,42.92,0.94,2.57,1,155972,175768,252,111,194,79,17373,26744,19489,92420,147,437
i-0abcd123,2026-03-08T16:10:00+00:00,43.41,64.16,1.26,3.85,1,109215,133433,357,432,104,110,28387,35834,59150,36350,387,496
i-0abcd123,2026-03-08T16:15:00+00:00,31.43,34.96,3.95,1.06,1,138284,122987,369,369,153,138,8247,16349,43888,65130,138,345
i-0abcd123,2026-03-08T16:20:00+00:00,37.85,58.54,2.1,0.1,0,196293,102594,172,70,87,133,41257,32019,45275,57468,171,304
i-0abcd123,2026-03-08T16:25:00+00:00,42.83,59.96,4.09,0.28,0,85860,72982,288,290,123,165,20906,11610,71720,91239,167,195
i-0abcd123,2026-03-08T16:30:00+00:00,42.52,53.12,0.87,3.56,0,98136,163058,148,307,193,109,28291,44255,74127,88434,384,342
i-0abcd123,2026-03-08T16:35:00+00:00,41.29,46.05,0.01,4.93,0,81846,121879,406,492,100,144,47170,14885,53541,72839,307,315
i-0abcd123,2026-03-08T16:40:00+00:00,18.93,39.39,1.23,1.46,1,166862,117638,328,74,199,140,17716,37137,87362,87068,372,319
i-0abcd123,2026-03-08T16:45:00+00:00,43.01,50.87,2.43,1.24,1,161710,83854,204,475,118,136,28553,28812,76444,45175,239,218
i-0abcd123,2026-03-08T16:50:00+00:00,38.59,36.58,0.3,3.39,0,138530,145300,467,393,174,93,34742,9832,72075,91542,193,486
i-0abcd123,2026-03-08T16:55:00+00:00,33.69,60.73,4.22,2.1,1,140860,116981,50,251,182,156,30970,26126,53087,14087,116,245
i-0abcd123,2026-03-08T17:00:00+00:00,32.8,46.26,4.71,0.51,1,87193,86316,282,53,162,121,38437,47252,65538,69334,303,384
i-0abcd123,2026-03-08T17:05:00+00:00,21.0,31.47,1.67,1.7,1,189188,160244,309,129,178,111,10828,27642,13273,78123,387,109
i-0abcd123,2026-03-08T17:10:00+00:00,44.52,36.69,2.52,4.63,1,165779,113462,277,465,115,129,43878,7731,29368,21789,408,219
